id,season,division,round,localTeam,visitorTeam,localGoals,visitorGoals,date,result,T1PliS,T1PviS,T2PliS,T2PviS,total_punts_loc,total_punts_vis,month,day_of_week,GoalsliS,GoalsviS,local_3streak,visitor_3streak,local_5streak,visitor_5streak,last_1ra_loc,last_1ra_vis,Rk_loc,Rk_vis,last_top6_loc,last_top6_vis
11729,1987-88,1,3,Osasuna,Valladolid,4,1,1987-09-13,2,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.0,2.0,2,7,1.0,1.0,4.0,2.0,4.0,2.0,1,1,2.0,4.0,0,0
11730,1987-88,1,3,Sabadell,Mallorca,2,0,1987-09-13,2,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,2,7,0.0,2.0,0.0,1.0,0.0,1.0,1,1,6.0,5.0,0,0
11731,1987-88,1,3,Sevilla,Murcia,1,2,1987-09-13,0,0.0,1.0,1.0,0.0,3.0,3.0,2,7,3.0,2.0,3.0,3.0,3.0,3.0,1,1,3.0,3.0,0,0
11732,1987-88,1,4,Logrones,Sabadell,1,1,1987-09-19,1,0.3333333333333333,0.0,0.5,0.0,1.0,3.0,2,6,1.0,2.0,1.0,3.0,1.0,3.0,1,1,7.0,5.0,0,0
11733,1987-88,1,4,Valladolid,Las Palmas,0,0,1987-09-19,1,0.3333333333333333,0.16666666666666666,0.5,0.0,2.0,3.0,2,6,2.0,4.0,2.0,3.0,2.0,3.0,1,1,6.0,5.0,0,0
11734,1987-88,1,4,Barcelona,Valencia,0,1,1987-09-20,0,0.0,0.5,1.0,0.3333333333333333,3.0,7.0,2,7,3.0,6.0,3.0,7.0,3.0,7.0,1,1,5.0,2.0,0,0
11735,1987-88,1,4,Betis,Atletico de Bilbao,0,0,1987-09-20,1,1.0,0.5,1.0,0.3333333333333333,6.0,7.0,2,7,5.0,4.0,6.0,7.0,6.0,7.0,1,1,3.0,2.0,0,0
11736,1987-88,1,4,Celta de Vigo,Atletico de Madrid,1,0,1987-09-20,2,0.3333333333333333,0.5,1.0,0.3333333333333333,4.0,7.0,2,7,4.0,5.0,4.0,7.0,4.0,7.0,1,1,4.0,2.0,0,0
11737,1987-88,1,4,Sporting de Gijon,Zaragoza,2,1,1987-09-20,2,0.3333333333333333,0.0,0.5,0.3333333333333333,1.0,4.0,2,7,0.0,3.0,1.0,4.0,1.0,4.0,1,1,7.0,4.0,0,0
11738,1987-88,1,4,Mallorca,Cadiz,1,4,1987-09-20,0,0.3333333333333333,0.0,0.5,1.0,1.0,6.0,2,7,2.0,3.0,1.0,6.0,1.0,6.0,1,1,7.0,3.0,0,0
